aligned_mem
codif[0]
codif[10]
codif[11]
codif[1]
codif[2]
codif[3]
codif[4]
codif[5]
codif[6]
codif[7]
codif[8]
codif[9]
done_exec
done_mem
reset
W_R_mem[0]
W_R_mem[1]
en_mem
enable_exec
enable_exec_mem
enable_pc
sign_mem
trap
wordsize_mem[0]
wordsize_mem[1]
n168
n169
codif_9
n176
n167
n170
n166
n15
codif_11
codif_10
n183
enable_pc_aux
n135
state_reg[0]
n178
n187
n181
state_reg[1]
n177
n202
n203
n182
n164
n211
n212
state_reg[5]
n175
n214
n215
n184
state_reg[3]
n174
n220
n221
n186
state_reg[2]
n173
n223
n224
n185
state_reg[4]
n172
n230
n231
n180
state_reg[6]
n171
n242
n243
n261
n262
n163
n267
n268
n270
n271
n291
n292
n259
n330
n165
n297
n14
n241
n188
n189
n191
n192
n190
n248
n249
n193
n194
n245
n200
n201
n195
n196
n197
n276
n198
n199
n321
n322
n327
n328
n288
n289
n210
n204
n205
n206
n207
n209
n208
n295
n256
n219
n213
n234
n260
n273
n216
n217
n218
n284
n222
n225
n226
n227
n238
n236
n228
n229
n239
n240
n232
n233
n237
n235
n294
n302
n303
n252
n244
n246
n247
n258
n250
n251
n253
n254
n319
n296
n255
n257
n282
n286
n287
n263
n264
n265
n266
n283
n269
n272
n274
n275
n278
n279
n277
n280
n281
n285
n329
n290
n298
n293
n299
n300
n301
n320
n306
n307
n304
n305
n308
n309
n316
n317
n310
n311
n314
n315
n312
n313
n318
n324
n325
n323
n326
