enable_i
intr_i
mem_ack_i
mem_dat_i[0]
mem_dat_i[10]
mem_dat_i[11]
mem_dat_i[12]
mem_dat_i[13]
mem_dat_i[14]
mem_dat_i[15]
mem_dat_i[16]
mem_dat_i[17]
mem_dat_i[18]
mem_dat_i[19]
mem_dat_i[1]
mem_dat_i[20]
mem_dat_i[21]
mem_dat_i[22]
mem_dat_i[23]
mem_dat_i[24]
mem_dat_i[25]
mem_dat_i[26]
mem_dat_i[27]
mem_dat_i[28]
mem_dat_i[29]
mem_dat_i[2]
mem_dat_i[30]
mem_dat_i[31]
mem_dat_i[3]
mem_dat_i[4]
mem_dat_i[5]
mem_dat_i[6]
mem_dat_i[7]
mem_dat_i[8]
mem_dat_i[9]
mem_stall_i
nmi_i
break_o
fault_o
mem_addr_o[0]
mem_addr_o[10]
mem_addr_o[11]
mem_addr_o[12]
mem_addr_o[13]
mem_addr_o[14]
mem_addr_o[15]
mem_addr_o[16]
mem_addr_o[17]
mem_addr_o[18]
mem_addr_o[19]
mem_addr_o[1]
mem_addr_o[20]
mem_addr_o[21]
mem_addr_o[22]
mem_addr_o[23]
mem_addr_o[24]
mem_addr_o[25]
mem_addr_o[26]
mem_addr_o[27]
mem_addr_o[28]
mem_addr_o[29]
mem_addr_o[2]
mem_addr_o[30]
mem_addr_o[31]
mem_addr_o[3]
mem_addr_o[4]
mem_addr_o[5]
mem_addr_o[6]
mem_addr_o[7]
mem_addr_o[8]
mem_addr_o[9]
mem_cti_o[0]
mem_cti_o[1]
mem_cti_o[2]
mem_cyc_o
mem_dat_o[0]
mem_dat_o[10]
mem_dat_o[11]
mem_dat_o[12]
mem_dat_o[13]
mem_dat_o[14]
mem_dat_o[15]
mem_dat_o[16]
mem_dat_o[17]
mem_dat_o[18]
mem_dat_o[19]
mem_dat_o[1]
mem_dat_o[20]
mem_dat_o[21]
mem_dat_o[22]
mem_dat_o[23]
mem_dat_o[24]
mem_dat_o[25]
mem_dat_o[26]
mem_dat_o[27]
mem_dat_o[28]
mem_dat_o[29]
mem_dat_o[2]
mem_dat_o[30]
mem_dat_o[31]
mem_dat_o[3]
mem_dat_o[4]
mem_dat_o[5]
mem_dat_o[6]
