addr[0]
addr[1]
addr[2]
addr[3]
addr[4]
addr[5]
addr[6]
addr[7]
cs
reset_n
we
write_data[0]
write_data[10]
write_data[11]
write_data[12]
write_data[13]
write_data[14]
write_data[15]
write_data[16]
write_data[17]
write_data[18]
write_data[19]
write_data[1]
write_data[20]
write_data[21]
write_data[22]
write_data[23]
write_data[24]
write_data[25]
write_data[26]
write_data[27]
write_data[28]
write_data[29]
write_data[2]
write_data[30]
write_data[31]
write_data[3]
write_data[4]
write_data[5]
write_data[6]
write_data[7]
write_data[8]
write_data[9]
read_data[0]
read_data[10]
read_data[11]
read_data[12]
read_data[13]
read_data[14]
read_data[15]
read_data[16]
read_data[17]
read_data[18]
read_data[19]
read_data[1]
read_data[20]
read_data[21]
read_data[22]
read_data[23]
read_data[24]
read_data[25]
read_data[26]
read_data[27]
read_data[28]
read_data[29]
read_data[2]
read_data[30]
read_data[31]
read_data[3]
read_data[4]
read_data[5]
read_data[6]
read_data[7]
read_data[8]
read_data[9]
n716
n717
n620
n621
n530
n531
n503
n504
n491
n492
n471
n472
n459
n460
n448
n449
n441
n442
n430
n431
n709
n710
n700
n701
n690
n691
n682
n683
n674
n675
n667
n668
n659
n660
n650
n651
n642
n643
n634
n635
n611
n612
n603
n604
n595
n596
n588
n589
n580
n581
n572
n573
n565
n566
n558
n559
n549
n550
n540
n541
n521
n522
n514
n515
core_d[3]
n5913
n3467
n3468
core_d[2]
n5912
n3464
n3465
core_d[1]
n5911
n3462
n3463
n5120
core_d[0]
n5910
n3460
n3461
n5119
core_c[3]
n5909
n3458
n3459
core_c[2]
n5908
n3456
n3457
core_c[1]
n5907
n3451
n3452
core_c[0]
n5906
n3447
n3448
n5115
n6071
n5905
n3443
n3444
n6069
n5904
n3441
n3442
n6209
n5903
n3439
n3440
n6068
n5902
n3437
n3438
n6185
n5901
n3435
n3436
n6070
n5900
n3433
n3434
n6173
n5899
n3431
n3432
n6072
n5898
n3429
n3430
n6196
n5897
n3427
n3428
n6214
n5896
n3425
n3426
n6170
n5895
n3423
n3424
n6190
n5894
n3421
n3422
n6207
n5893
n3419
n3420
n6178
n5892
n3417
n3418
n6183
n5891
n3415
n3416
n6201
n5890
n3413
n3414
n6218
n5889
n3411
n3412
n6221
n5888
n3409
n3410
n6194
n5887
n3407
n3408
n6212
n5886
n3405
n3406
n6168
n5885
n3403
n3404
n6188
n5884
n3401
n3402
n6205
n5883
n3399
n3400
n6176
n5882
n3397
n3398
n6225
n5881
n3395
n3396
n6199
n5880
n3393
n3394
n6216
n5879
n3391
n3392
n6219
n5878
n3389
n3390
n6192
n5877
n3387
n3388
n6210
n5876
n3385
n3386
n6180
n5875
n3383
n3384
n6186
n5874
n3379
n3380
n6203
n5873
n3374
n3375
n6174
n5872
n3372
n3373
n6223
n5871
n3370
n3371
n6197
n5870
n3368
n3369
n6215
n5869
n3366
n3367
n6171
n5868
n3364
n3365
n6191
n5867
n3362
n3363
n6208
n5866
