aligned_mem
codif[0]
codif[10]
codif[11]
codif[1]
codif[2]
codif[3]
codif[4]
codif[5]
codif[6]
codif[7]
codif[8]
codif[9]
done_exec
done_mem
reset
W_R_mem[0]
W_R_mem[1]
en_mem
enable_exec
enable_exec_mem
enable_pc
sign_mem
trap
wordsize_mem[0]
wordsize_mem[1]
n168
n169
codif_9
n176
n167
n170
n166
n15
codif_11
codif_10
n162
enable_pc_aux
n135
state_reg[0]
n178
n113
n182
state_reg[1]
n177
n108
n109
n183
n100
n101
n164
state_reg[5]
n175
n96
n97
n184
state_reg[3]
n174
n91
n92
n186
state_reg[2]
n173
n67
n68
n185
state_reg[4]
n172
n54
n55
n181
state_reg[6]
n171
n46
n47
n180
n25
n35
n163
n24
n26
n21
n22
n1
n9
n5
n6
n187
n165
n2
n14
n58
n10
n11
n3
n13
n8
n7
n66
n12
n33
n121
n122
n16
n17
n18
n61
n59
n19
n20
n158
n159
n72
n23
n27
n28
n32
n43
n44
n103
n29
n30
n31
n107
n40
n34
n137
n36
n37
n38
n39
n41
n42
n99
n145
n51
n147
n148
n53
n48
n49
n50
n95
n52
n129
n65
n62
n63
n56
n57
n60
n73
n74
n118
n119
n139
n140
n69
n70
n71
n94
n90
n75
n76
n77
n78
n79
n85
n86
n80
n81
n84
n82
n83
n89
n87
n88
n93
n152
n153
n98
n106
n102
n104
n105
n111
n110
n112
n125
n126
n114
n115
n117
n142
n143
n131
n120
n123
n138
n127
n132
n133
n134
n136
n146
n161
n141
n150
n151
n144
n155
n156
n154
n157
