aligned_mem
codif[0]
codif[10]
codif[11]
codif[1]
codif[2]
codif[3]
codif[4]
codif[5]
codif[6]
codif[7]
codif[8]
codif[9]
done_exec
done_mem
reset
W_R_mem[0]
W_R_mem[1]
en_mem
enable_exec
enable_exec_mem
enable_pc
sign_mem
trap
wordsize_mem[0]
wordsize_mem[1]
n315
n169
codif_9
n176
net2322
n170
n166
n15
codif_11
codif_10
enable_pc_aux
n162
n135
state_reg[0]
n316
n286
n285
n185
state_reg[1]
n177
n294
n293
n184
n260
n201
n164
state_reg[3]
n174
n288
n287
n187
state_reg[2]
n173
net3872
n254
n190
state_reg[4]
n317
n258
n257
n189
n304
n306
n313
n314
net3947
net3757
n193
n231
n188
net2319
net3781
n14
n311
n312
state_reg[6]
n171
n278
n277
n196
state_reg[5]
n175
n224
n225
n197
n180
n251
n181
n238
n182
n183
net3898
n213
net3900
net4141
n220
n186
n280
n263
n191
net3894
net3746
n250
n249
n192
n299
n301
n194
n309
n303
n234
n266
n302
n195
n282
n222
n237
n198
n272
n275
n199
n226
n265
n200
n236
n289
n273
n248
n259
n202
n203
n305
n204
n300
net3771
n219
net4146
n205
n206
net4130
net4147
net4139
net4434
net3868
n240
n207
n208
net3938
net3939
net3952
net3793
net3919
net3823
net3873
net4005
net3760
n216
n210
n209
net3782
n211
n212
n215
net3936
n214
net3940
net4169
n218
net3941
n217
net3932
net3933
n243
n242
net3901
net3812
net3790
net3791
net3795
net3931
net4435
net4432
net4170
net4433
net4116
net3792
net4436
net4157
net4171
net3942
n308
n232
n221
n247
n223
n279
n283
n235
n281
n276
n274
n253
n252
n244
n270
n269
n268
n267
n290
n264
n227
n228
n230
n229
n310
n307
n298
n297
n296
n256
n255
net3867
n233
n284
n239
n241
n246
n245
n261
n262
n271
n291
n292
n295
